type,title,summary,link,category
Video,Lo que un desguace en Ghana puede enseñarnos sobre la innovación,"Un desguace, o cementerio de artefactos desechados, puede parecer un lugar poco probable para que florezca la innovación, pero como el diseñador D.K. Osseo-Asare explica, el desguace Agbogbloshie de Ghana es el hogar de hábiles mineros urbanos que rescatan materiales preciosos y desarrollan algo nuevo. Oseo-Asare codiseñó un proyecto social que fomenta la innovación en los desguaces y conecta la oferta con la demanda. getAbstract recomienda su historia a los innovadores que buscan nuevas fuentes de inspiración.",https://www.getabstract.com/es/resumen/lo-que-un-desguace-en-ghana-puede-ensenarnos-sobre-la-innovacion/35045,innovation
Libro,Humanos favor de abstenerse,"La aceleración actual del poder de la informática, el aprendizaje automático y los avances en la agudeza de los sensores anuncian una era de sistemas de inteligencia artificial y dispositivos robot. El futurista Jerry Kaplan ve tanto una gran promesa como un grave peligro en esas tecnologías: dan a la gente tiempo libre y ofrecen prosperidad, transporte más seguro y una vida más fácil. Por otra parte, mientras sus propietarios se benefician, las máquinas inteligentes amenazan el empleo y las habilidades actuales. Kaplan imagina un futuro de “personas artificiales” legalmente constituidas y dueñas de activos. Su informe, claro, de ágil lectura y fascinante, es una advertencia sobre la automatización inteligente. getAbstract recomienda su oportuna evaluación de las “mentes sintéticas” a empresarios, futuristas, profesores y estudiantes de comercio, trabajadores autónomos, legisladores y líderes de opinión.",https://www.getabstract.com/es/resumen/humanos-favor-de-abstenerse/33331,innovation
Libro,Qué hacer cuando las máquinas hacen todo,"Malcolm Frank, Paul Roehrig y Ben Pring, pronosticadores de la alta tecnología, explican que los líderes astutos de hoy usan sistemas inteligentes artificiales “estrechos” para impulsar los procesos de sus empresas. En esta pragmática guía sobre los prodigiosos sistemas de inteligencia –llamados “nueva máquina”–, los autores muestran estrategias claras para extraer y refinar datos, el enigmático bien más valioso de hoy. Ven una gran promesa en la cuarta revolución industrial y, dicen, las empresas que automaticen sensatamente, con una actitud optimista de instrumentalizarlo todo, irán a la vanguardia. Su manual básico lo insta a enfrentar el reto con la mente abierta, un sentido de urgencia y su propia podadora. getAbstract recomienda las ideas de los autores a inversionistas, estudiantes, líderes, gerentes y todos los que busquen una visión general táctica y estratégica para aplicar la IA para mejorar las ganancias de sus empresas.",https://www.getabstract.com/es/resumen/que-hacer-cuando-las-maquinas-hacen-todo/33738,innovation
Libro,La tecnología blockchain en los negocios,"El tecnólogo William Mougayar cree que la cadena de bloques es la siguiente app apabullante del mundo de la tecnología. En este estudio del potencial de la cadena de bloques describe un futuro en el que la cadena será la base para las relaciones bancarias, el almacenamiento de registros médicos y la expedición de pasaportes, con un proceso seguro. Mougayar detalla los obstáculos que frenan un mundo de cadena de bloques, pero argumenta que la cadena tiene una posición similar a la de internet en 1997: lista para desencadenar un avance masivo que cambiará al mundo. A pesar de que su organización es un poco accidentada, getAbstract recomienda este oportuno estudio a ejecutivos, inversores y hacedores de políticas que deseen estar al tanto de los nuevos desarrollos.",https://www.getabstract.com/es/resumen/la-tecnologia-blockchain-en-los-negocios/33163,innovation
Libro,Abierto a pensar,"El consultor Dan Pontefract ofrece una estrategia para pensar más claramente y tomar mejores decisiones. Mientras explica cómo funciona su sistema “soñar, decidir, hacer”, ofrece ejemplos de la vida real de pensadores abiertos cuyos logros provienen de sus prácticas cognitivas deliberativas. La gente tiende a apresurarse a sacar conclusiones, aceptar información errónea, saltarse matices o confiar en suposiciones superficiales. En vez de eso, dice Pontefract, haz una pausa para reflexionar. La efectividad de su proceso de pensamiento depende de qué tan bien clasifique la evidencia, reflexione sobre ella y cuestione sus conclusiones. getAbstract recomienda el manual de Pontefract a quienes deseen tomar mejores decisiones u obtener información útil sobre sus propios procesos de pensamiento.",https://www.getabstract.com/es/resumen/abierto-a-pensar/36578,innovation
Libro,Cómo desbloquear la creatividad,"El útil análisis de Michael A. Roberto orienta a los líderes para apoyar los talentos creativos de sus empleados. Identifica seis actitudes que bloquean la innovación, explica su impacto y muestra a los líderes cómo superar estos obstáculos, crear un ambiente abierto y estimular la creatividad de los empleados animándolos a explorar nuevas formas de hacer su trabajo.",https://www.getabstract.com/es/resumen/como-desbloquear-la-creatividad/37282,innovation
Libro,Reingeniería de las ventas al por menor,"La explosión del comercio electrónico está revelando los defectos del modelo de negocio de las tiendas minoristas. Las marcas deben competir por otros méritos. Las experiencias digitales cambiaron las compras. Los componentes de un entorno minorista y la forma en que la gente compra los productos seguirán cambiando radicalmente en los próximos años, dice el experto en ventas al por menor Doug Stephens.",https://www.getabstract.com/es/resumen/reingenieria-de-las-ventas-al-por-menor/36560,innovation
Libro,Cómo evaluar y medir la innovación empresarial,"Peter Junermark, Sten Jacobson y Magnus Penker, de la firma de consultoría Innovation 360 Group, analizaron más de mil empresas en más de 60 países para construir una extensa base de datos sobre innovación. Examinan los puntos de vista de sus encuestados sobre cómo –y por qué– los proyectos de innovación prosperan o fracasan. Utilizan gráficos, listas e ilustraciones para organizar su debate sobre las herramientas que tiene a su disposición para medir y gestionar la innovación. Su análisis de la naturaleza de la innovación puede desafiar a los no iniciados, pero sus datos y sugerencias son claros. getAbstract recomienda este trabajo reflexivo y basado en la investigación a todos los ejecutivos que manejan proyectos de innovación.",https://www.getabstract.com/es/resumen/como-evaluar-y-medir-la-innovacion-empresarial/34551,innovation
Libro,Diseño trágico,"El diseño deficiente no es simplemente desagradable a la vista o frustrante a la hora de navegar. Puede causar daños irreparables. Los diseñadores Jonathan Shariat y Cynthia Savard Saucier presentan estudios de caso contundentes de diseños que salieron mal, como un software médico tan innecesariamente complejo que causó la muerte de una joven paciente de cáncer. Los autores explican cómo el diseño pobre enfurece, entristece y frustra a los usuarios, causa injusticias o niega el acceso a la gente y, por lo tanto, a oportunidades. Si bien los autores ofrecen muchas explicaciones, muestran pocas soluciones. La principal que recomiendan enfáticamente es realizar pruebas y permitir que los resultados guíen sus decisiones de diseño. getAbstract recomienda esta meticulosa perspectiva general y bien informada a estudiantes y profesores de diseño, ingenieros de software, desarrolladores web, diseñadores de productos y cualquier persona interesada en el diseño y sus procesos.",https://www.getabstract.com/es/resumen/diseno-tragico/36566,innovation
Libro,Espacio adaptativo,"Cada año, CNBC anuncia su lista Disruptor 50, un compendio de las empresas privadas más innovadoras del mundo, de las cuales cerca de la mitad está en Silicon Valley. Estas corporaciones audaces explotan nichos de mercado, transforman sus industrias y, a veces, a la sociedad. Las empresas disruptivas ponen la mesa donde sus competidores deben comer. Estas empresas ágiles cultivan un “espacio adaptativo” interno, un entorno creativo sin trabas. Fomentan la exploración y la libre circulación de ideas en cuatro dimensiones: descubrimiento, desarrollo, difusión y disrupción. Como certifica el mercado, su apertura al pensamiento fresco les permite transformarse radicalmente en algo más nuevo y mejor. El profesor de dinámica organizacional Michael J. Arena explica qué es el espacio adaptativo, por qué su organización lo necesita para nutrir la agilidad y cómo puede fomentarlo.",https://www.getabstract.com/es/resumen/espacio-adaptativo/36604,innovation
